4.04762 21.6494	-0.13088 0.0514089
3.43171 19.2096	-0.451339 0.311604
1.06301 21.039	0.59883 -0.134505
3.6966 14.9007	0.172061 0.158839
1.01065 25.371	-0.196819 0.103962
3.93572 25.9542	0.295082 -0.117941
5.457 26.9495	0.317474 0.0872449
4.44274 26.8693	-0.043305 0.221751
3.04131 24.1226	-0.1898 0.0380862
4.97689 26.0366	0.453511 -0.613205
2.03018 24.0085	0.520239 -0.050096
2.60118 28.6099	-0.419271 0.4758
5.57388 25.2359	0.16189 0.730813
1.72016 22.7702	-0.341361 0.19712
4.07867 24.2119	0.0823922 -0.172366
4.30955 22.5585	0.314882 -1.04876
2.89353 21.4811	0.195577 -0.160527
5.07281 24.3611	0.252059 1.2896
0.14791 24.8453	0.146645 0.663695
2.91967 25.912	-0.233808 0.336121
2.38938 26.8293	0.401283 -0.613523
6.43283 27.0308	0.257282 -0.52643
0.440238 26.5113	-0.0628723 -0.179782
4.70342 23.4379	-0.253039 -0.122527
1.03127 24.3359	0.234869 0.216458
2.47196 24.9731	-0.0546086 -0.437789
4.49085 25.1406	0.299571 -0.503098
4.90694 27.7998	-0.649831 0.79273
28.4717 22.9782	-0.0223223 -0.257203
6.0101 26.1152	-0.185133 0.408627
3.31593 22.3799	-0.14321 -0.134382
1.93366 27.8113	0.0953539 0.761787
0.138903 23.85	-0.348797 0.163117
0.970418 28.004	-0.438562 -0.498361
7.00539 26.1831	0.586696 0.158436
3.48878 25.0383	-0.0331241 -0.410745
2.92006 27.6917	-0.196313 -0.100253
3.44175 26.8126	-0.562288 -0.0694018
0.669696 23.0069	-0.678762 0.0509521
2.63224 23.1755	0.308582 0.0900738
1.90595 21.7113	0.112996 -0.990287
3.6519 23.2986	-0.105405 0.104854
1.3489 27.0175	0.590628 -0.159306
1.93677 25.853	-0.757067 0.892648
7.89167 0.187307	-0.0702505 -0.0423881
10.3727 27.3373	0.195866 -0.360666
13.3594 28.6749	-0.217188 -0.517276
7.05397 5.67729	-0.219525 -0.711908
13.0802 4.78937	0.411271 0.721709
9.53391 27.822	-0.700543 -0.200817
13.8998 7.16599	0.137342 -0.481413
12.4509 1.29692	-0.432969 0.525676
11.4936 28.7604	-0.0581003 -0.75217
9.70835 1.07364	0.0449664 0.507416
8.15851 4.08847	0.198149 -0.308146
8.77961 0.618265	-0.426539 -0.4441
6.90545 0.822845	0.0340516 -0.104735
14.231 0.33076	0.581947 0.589103
12.0093 6.30127	-0.427706 -0.402014
9.70401 3.18691	0.220013 -0.622026
14.0321 1.89684	-0.467726 0.303354
12.7266 3.11793	-0.0166426 -0.357157
13.4213 0.970682	-0.694818 0.287756
10.2267 4.12035	-0.535884 -0.618613
8.74956 28.4424	-0.0407013 -0.264339
10.5804 0.536858	0.311151 0.358409
9.77758 2.04914	-0.0821348 -0.0680224
12.4204 28.0012	0.719608 -0.0406399
13.7021 2.86528	-0.135249 1.10815
12.3297 4.11172	-0.299253 0.968723
9.28365 6.40946	-0.260704 0.76541
12.849 5.72966	-0.458648 -0.678008
10.6863 5.03026	0.478123 -0.917991
11.0847 5.94954	-0.109554 -0.490352
10.7765 3.33232	0.0490629 -0.792669
9.65182 0.0706257	-0.44992 0.204457
7.02028 1.84572	0.233198 0.580977
13.7759 6.16787	-0.286147 0.105193
14.0804 4.60063	0.0889401 0.160729
7.21288 3.63322	-0.0327665 -0.430939
13.2355 7.8694	-0.675467 -0.00922756
11.8588 5.20809	-0.289246 -0.31274
12.1267 2.32776	-0.538771 0.620861
8.07001 3.08773	-0.360628 0.292515
8.86353 5.52009	-0.854886 0.226332
10.5201 28.3587	0.0165356 -0.198416
7.88786 1.16064	-0.503482 -0.273709
12.9227 6.84863	-0.12387 -0.226328
8.91702 2.56737	-0.6987 0.557545
8.1043 6.1738	-0.881941 0.330931
7.83421 28.0451	-0.387622 0.0223457
9.23233 4.07351	-0.772218 0.00328051
9.68562 4.9523	-0.189698 0.218394
8.82314 1.58634	0.2154 -0.148326
7.94761 5.1432	-0.146857 0.0413569
10.1031 5.85018	0.0190937 -0.300892
12.4747 0.273285	0.699052 -0.520763
7.98838 2.13094	0.52519 -0.636129
13.082 2.05388	0.539898 0.0572954
11.5555 0.909661	-0.159447 -0.134097
11.7576 3.28829	0.398311 -0.0193038
11.2931 4.24266	0.640596 -0.447328
11.141 2.41442	-0.139108 -0.541904
10.6813 1.54249	-0.169974 0.683904
11.3596 27.8368	0.383712 -0.0248159
13.4614 27.6755	0.201454 0.384705
8.66931 7.82739	0.0443572 -0.120369
13.3102 12.5049	-0.0290445 0.0516856
9.5223 10.408	0.472873 0.713991
8.58064 12.2546	1.24801 0.167551
11.6803 10.6956	0.32647 -0.0948105
6.84197 8.46463	0.0887129 -0.243508
14.1403 8.16639	-0.129391 0.127258
9.51261 8.31362	0.932557 0.0429381
14.2929 13.0524	0.699645 0.274822
10.6292 10.516	0.420354 -0.120824
10.027 13.6282	-0.127799 0.630526
10.0535 11.3091	1.01818 0.366398
10.7598 9.31996	0.228554 -0.275566
12.0305 11.6116	0.0405723 0.0822964
14.5879 10.176	-1.15248 0.289774
12.7441 10.4879	0.0661113 -0.977706
13.3391 8.86362	0.769347 1.028
13.0003 11.5158	-0.263996 0.938354
12.1421 14.5641	-0.116951 0.383616
7.88705 7.19728	0.122376 0.0708946
13.3202 13.4847	-0.958403 0.621585
7.52756 13.4421	-0.853056 0.565357
12.7024 15.3658	0.545761 -0.602744
14.3672 9.1454	0.0174117 0.943543
13.7748 10.8261	-0.211289 -0.41331
8.43851 13.9195	-0.763321 -0.193718
8.58414 9.95073	0.391058 -0.218389
14.0305 11.8081	-0.687015 0.554416
9.5508 12.1095	-0.673227 0.331816
11.0104 7.64966	-0.695178 0.149756
7.81403 8.29765	-0.375676 -1.29443
10.5611 12.3205	-0.105623 -1.05022
9.57126 7.34541	0.235277 0.742695
14.8654 13.9149	-0.797051 -0.106511
9.44821 9.39915	-0.184159 0.870863
9.07186 14.8141	-0.239077 0.609402
11.9632 7.34038	-0.716494 -0.254481
10.0868 14.6127	0.201615 0.183724
11.04 11.4765	-0.162796 -0.0844091
12.3844 13.0554	-0.312603 0.516331
8.65247 8.85729	0.0194612 0.471796
7.65395 12.4703	0.279302 0.187764
12.3163 8.81897	-0.21801 -0.888136
7.81579 11.414	0.20846 0.0266427
7.54775 10.352	-0.208894 0.362277
12.0311 9.7656	0.0229444 -0.494083
11.577 13.6879	-0.570345 -0.362028
13.6484 15.5213	0.029249 0.0902705
11.5356 12.5371	0.823876 0.0978328
13.6241 9.82762	-0.275842 0.285933
6.71124 12.8913	-0.598826 0.387557
10.4383 6.81622	-0.771369 -0.794252
14.9379 12.2449	-0.363652 -0.175916
8.94761 11.2876	-0.416186 -0.367404
13.2299 14.485	-0.290018 0.323269
14.2711 14.7243	-0.406758 0.149995
9.12978 13.1261	0.474127 -0.520803
7.78422 9.35428	0.624455 0.313488
13.8902 16.5057	-0.544465 0.111591
14.4026 21.0216	0.346673 0.773462
15.2875 14.8409	-0.296035 -0.0186537
6.83236 21.2793	-0.479037 -0.562942
8.86339 18.4601	0.300798 0.133458
14.9476 16.61	-0.0847977 0.470958
11.1677 14.6605	0.095451 0.160466
11.9954 19.1607	-0.119588 -0.197055
8.64097 15.7761	-0.203301 -0.437058
7.69324 15.3852	0.0456131 -0.537365
8.86259 19.4532	0.179864 -0.181866
6.99059 20.2563	0.476315 -0.354169
10.9605 19.0504	-0.0587192 -0.242599
6.06832 20.6958	-0.320992 0.0299016
7.78019 17.3262	-0.882185 -0.434093
6.72845 16.6615	0.793106 0.622027
14.7412 19.3736	-1.00587 0.188576
11.5816 21.0018	0.565719 -0.300214
11.7073 15.4779	0.600648 0.80258
13.4836 18.0308	0.0690985 0.420151
10.6969 15.5413	0.729232 -0.0140277
7.22932 18.2398	-0.0893269 -0.599535
14.5241 22.2349	1.14039 -0.649097
12.2801 16.2989	0.146112 -0.738759
13.0667 18.9381	0.323542 -0.710462
9.85668 17.4008	0.222894 0.0186935
8.81641 17.4432	0.444469 -0.00793649
11.3446 19.9797	0.685254 -0.344955
7.93672 19.9079	0.347172 0.719244
11.4761 18.1917	0.597208 -0.561565
12.4581 18.1212	-0.85649 0.211619
12.5976 21.1661	0.251507 -0.086474
14.6559 15.6572	-0.371109 -0.731747
9.72237 20.0202	-0.767389 -0.412212
11.2618 16.3632	0.875598 -0.296406
8.77202 20.4351	-0.0268527 0.690825
9.69474 15.6303	-0.157644 0.28719
10.901 17.3237	0.178341 0.204633
14.6859 18.37	0.439609 -0.850915
13.533 21.5578	-0.136439 -0.351886
7.78877 20.9301	-0.0822436 -0.310431
10.5751 20.6379	-0.0558633 0.846763
10.2886 16.4949	0.562283 -0.426738
10.45 18.1911	0.530208 0.15628
9.86942 19.0226	-0.032464 0.32366
7.97352 18.9288	-0.121225 0.258129
9.26773 16.5441	-0.0187769 -0.804465
12.293 20.1917	0.142347 -0.240241
12.9673 17.0644	-0.0602717 -0.063012
7.67733 16.3457	0.731258 -0.717248
11.9263 17.2283	-0.0767239 -0.280411
9.6303 20.9879	0.0462465 -0.0741662
11.9545 21.9775	0.163981 0.302203
14.2935 17.4068	-0.724828 -0.693422
13.5017 22.5414	0.400878 -0.0301255
7.04871 19.2645	0.0742078 -0.0470925
13.4116 20.5444	0.301173 -0.131955
14.356 28.159	0.531495 0.254201
12.5166 22.8276	0.00639746 -0.362613
10.535 23.3332	0.191388 0.0339223
6.87 27.9525	-0.300525 0.777974
9.64231 22.9207	-0.0295111 0.431322
10.7669 21.6932	0.438231 0.785315
8.09188 26.3358	-0.198099 -0.649502
12.3556 23.8859	-0.120949 -0.383524
13.258 23.5335	0.150731 0.266824
13.9748 24.2686	-0.252144 0.731541
9.51768 23.9012	0.739783 -0.339357
13.5774 25.156	0.16669 0.402419
7.24653 22.8399	-0.472918 -0.588326
12.7572 27.0037	-0.092826 0.0380812
11.3345 23.9305	0.266097 -0.14004
7.64884 25.4483	0.867307 -0.0374087
14.2213 23.2393	9.83837e-05 0.00658832
13.0538 26.0413	-0.216597 -0.335324
14.3999 27.1492	-0.188832 -0.0630022
11.221 22.653	0.488598 0.20402
8.65634 25.4619	0.292893 0.680217
9.09832 26.4095	-0.200988 -0.179017
5.7559 23.5451	0.889818 0.13809
11.2447 26.8638	-0.163737 -0.404769
8.70883 23.3321	0.0153973 0.196466
10.1594 26.3682	-0.0742848 -0.30024
7.85309 21.9446	-0.325687 0.662426
10.3747 24.3375	0.104143 0.130296
8.5664 24.4412	0.0789878 -0.214301
12.5721 25.0551	-0.0313235 -0.33137
9.75284 21.9258	0.442922 -0.0941272
8.61325 27.2978	0.138743 0.300958
11.1142 25.9127	0.0822733 0.482572
9.46254 24.8476	0.299075 0.0103723
10.3186 25.3413	-0.700619 -0.10122
7.51363 24.4611	0.0763767 -0.0628
6.63104 25.1954	0.349781 0.0169656
8.82975 22.3607	0.259602 -0.306675
6.59407 24.0994	0.424869 2.77172e-05
7.43448 27.114	-0.576619 -0.101318
11.1964 24.9215	0.101421 -0.492912
12.0632 26.2725	-0.267641 -0.63828
8.72025 21.3862	-0.0489662 -0.50437
19.6067 5.73329	0.217671 0.409238
14.3714 3.62486	-1.10399 0.524323
18.6905 7.98474	-1.05786 0.0305955
17.407 2.88605	0.631304 0.333468
21.96 2.5353	-0.0529171 0.264261
16.418 3.11985	0.652813 0.0960796
16.08 4.04491	0.303134 0.191467
17.2539 6.57456	-0.350503 0.110737
14.6257 5.492	-0.0921908 0.12902
14.9065 7.50421	-0.816398 -0.711901
20.0217 2.72174	0.680782 0.833668
18.4099 2.65272	-0.0806209 -0.0024994
21.3307 6.0321	-0.289442 -0.675081
18.771 0.31573	0.290533 -0.419441
